E9PV87	G3V9B1
Q9JIZ5	D3ZJT6
Q91YE2	O54968
Q62425	B2RZD6
Q8CHU3	Q9Z1N4
Q9JI19	Q6P775
Q9Z0S5	M0R8J2
Q8K093	A0A0G2K8E7
E9QM73	G3V8B2
Q9Z0S6	F1LQG0
Q8C2Q3	M0R9Q1
J3QMY9	F1M172
F6Y9T6	A0A0G2JWH3
P51942	Q5XI24
P15499	D3ZH42
O09047	G3V759
Q8VD72	B1WBT5
P35347	P35353
Q9R0C8	Q63116
Q9CQI4	F1LQ29
Q6P6M5	A0A0G2K1R0
P59017	A0A0G2KB42
Q80Y50	Q5M820
Q3V1V3	B0BN36
O35464	Q6IE14
E9PUM9	Q5PQS0
A2AJB2	M0R9I1
O35047	D3ZQF8
Q9EQ16	A7ISD5
P70168	F2Z3Q8
O55222	Q99J82
Q9CQK1	D3ZNX0
P16056	F1M4Y5
Q9CWT2	A0A0H2UHH1
Q6NT99	A0A0G2K5V8
E9PZZ1	Q6MGD2
Q9DA97	M0R4R9
Q9EP97	A0A0G2JXI7
Q8BMN4	D4AC69
Q4QQM4	G3V810
Q9ERY9	D3ZBN4
Q8BZ39	D3ZS20
Q9ET38	Q5QT56
Q8BKD6	Q5FVR8
Q3UUY0	F1M9X2
Q6NZR5	A0A0G2QC02
Q8CB65	Q5U2X5
Q925U3	O70534
Q9WV04	G3V979
A6H6E2	D3ZHF1
Q3UX43	D3ZMJ4
P57784	D3ZZR5
G3X9F2	G3V6G5
A0A182DWE6	G3V7V9
P22724	Q4G052
Q9DCV6	Q5PQM4
P50404	A0A0G2K904
P35282	Q6AXT5
P19182	D4A9V5
F6WCT1	F1LW58
P97460	P83556
Q9CR88	D3ZFU9
Q9Z1G4	Q2I6B5
P47811	Q56A33
Q80TH2	D3ZKE1
P51910	Q59IV8
G5E8J3	P45352
P08505	P20607
Q91WA9	D3ZCM3
F7CBX2	Q5M852
Q8CHK3	P33568
Q9D8B6	B1WC60
Q8BUK6	Q7TQ77
P70324	D3ZF19
P62743	P62744
P23578	P29293
A2AIG8	Q62772
O35427	F8WFG9
O88346	Q7TNB2
O88513	Q62968
Q8C6M1	F7FGY2
Q9D504	Q6AY64
Q9JJ69	Q9Z1Y0
Q8K2Y3	B2RZB3
P40338	Q5I0E1
O35602	D3ZLM8
A2RSY6	A7LKE6
Q5F201	D3ZF99
Q5DU25	D3ZEW7
O35082	G3V962
Q8C828	F1M369
Q9WTZ2	A0A0G2JT65
Q05BA5	A0A0H2UHD1
S4R1L6	D3ZF35
Q9WVC5	F1LQF7
Q8R3P9	G3V634
Q5EG47	P54645
Q6DIB5	D4A1D2
Q8C9W3	D3ZTE7
O88342	Q5RKI0
Q6GQT1	D3ZZZ9
G5E861	M0R8X9
Q3UFY7	G3V706
Q61597	F1LQX2
Q8VC12	G3V785
Q5U4E2	A0A0H2UHG5
A0A0R4J1F5	B2GUX4
Q6R5N8	D4A7G1
O70551	E9PTN4
P56375	A0A0G2K3L6
Q9ERA6	Q5U2Y6
Q01063	Q1RP75
Q05A56	Q9QXY2
Q8CIZ9	M0R934
Q8CI37	P97584
E9QL65	D3ZES7
Q1PSW8	D4IGX4
P09632	Q5U2V0
P20801	Q5PPI9
Q3TH73	Q566D8
Q80ZF2	F1LVL8
Q8BUY8	D4A542
Q80V53	Q6NX65
Q3V0T4	Q6AYJ4
E0CZ58	F1LSL6
Q80VJ8	D3ZPX3
B2RXQ2	D3ZNQ4
P31361	Q331S7
Q3T9X0	F1LMH7
Q80YE4	D3ZVM9
O08788	D4A8U7
Q8K003	F1M7Q4
A0A0R4J156	Q9JIP0
Q6NS82	D4A274
P41183	B2GUV8
Q640M6	G3V9L7
P19157	P14942
Q8JZS7	D4A5C3
P51944	P03889
Q8C9A2	A0A0G2K5U3
Q91VN6	B2RYL8
P97792	Q9R066
Q9JHQ5	Q562C6
P43406	A0A0G2JVZ6
P63087	P63088
Q9ERP3	D3Z921
Q8BG87	D3ZSG3
P40646	G3V9D1
Q5BL07	D3ZZB2
P11247	A0A0G2K1A2
Q9CRB6	Q3SWT7
Q3UZ45	A7U7N4
Q9JJV4	P24485
Q8R0Z2	D3ZHC4
Q6P8Y7	F1LZE2
P11942	D3ZBB3
Q8BWL5	F1LVI3
A0A0R4J190	P04797
A0A0R4J1E2	Q68FR9
Q60929	A0A0G2JSZ4
Q9D3J8	P55207
A2AHZ2	Q920M9
Q64702	B2GUY1
Q9CYH5	B1WBV3
P61982	P61983
G3X8R0	B2RZ37
Q9QWZ1	Q6AY57
Q9CWT6	B1WBZ4
O70340	D3ZY51
Q2HJ10	F1M3B1
Q64369	Q6MGA0
Q9DCL8	D3ZIH3
Q3UX10	D3ZS39
Q9R1W3	Q66HG0
Q8C828	P49000
Q9DCG2	G3V9E7
Q9D6Z1	Q4KLK7
Q8BWG9	F1LNX2
Q8K2Q2	B5DFL8
P14234	Q6P6U0
Q8BJU0	O70593
Q6ZQ93	A0A0G2JY76
Q9CRA7	A0A0G2K999
P20722	Q04906
Q3TIH7	F1M285
Q9D6W7	Q5U2T1
Q8BJ90	F1M1R7
Q80TV8	F1LRM0
Q8BL03	G3V766
O35344	P63170
A0A0R4IZY8	D4A114
Q9Z1T2	D4ACR8
Q9JLI6	G3V6R5
Q9CQ26	B2RZ23
A0A0G2LB91	D3ZES2
Q6P3A8	Q6AYS4
Q3URK3	F1LUQ3
Q80Y75	D3ZGL3
Q3UIL6	A0A0G2K6Z8
S4R1F8	P14423
A0A0R4J1Y0	Q09128
P61148	B2GV80
Q6P290	D4A582
P54130	F1MA44
Q91Z96	Q5M7T6
Q8K2Q5	A0A0G2K4I3
O35544	F1LR26
E9Q2T4	D4A903
Q9D009	P51842
Q8C708	Q5BK39
Q8CA72	B5DFI4
Q922E4	O88637
P56726	Q6IN36
Q3TTA7	A0A0G2K8K2
A2A432	D3ZK73
P46656	Q6UN82
P23881	Q5BK74
O35942	G3V6L2
Q8BMD7	F1LY63
Q9Z275	F7EWN2
A0A1W2P7D5	Q5BK53
Q9CXV1	Q6PCT8
P56818	Q4V7C0
Q80TT8	F1MA24
Q64323	D4AAY7
A2APC3	P06536
O54972	M0R4T9
Q6ZPY5	P43428
Q9CQG9	Q569C0
Q9Z0Z3	F1LSG4
Q8BRV5	Q9R175
P48757	P04563
P05627	P17325
O70585	P84060
Q9Z120	P14600
Q8CFV9	Q6AY17
Q61084	Q9WU49
O08795	B1WC34
Q8BFT9	Q9Z2I7
O88855	Q9R0Q2
Q6P1D7	F1LU18
Q61224	P28565
P70182	B2RYQ2
A0A0R4IZY5	F1M665
Q04890	Q9EQT1
Q8CCJ9	D3ZL57
O35160	P81062
Q99LC8	A0A0G2K9F2
P97431	F1LNW8
B2RPU8	D3Z8F1
Q80VM4	B1WBW3
Q8K4D3	D4ADK7
A2ARK0	P24942
Q8BP99	F1LMC6
P32115	G3V7W6
O70354	Q811X3
Q8C3U9	D3ZGJ3
D3YUP5	Q8VHU1
Q8K3J5	Q59IV8
Q8BWP8	G3V882
E0CZ22	F1LQI6
F6ZW42	E9PU86
O89098	A0A0G2K564
P70371	B1WC90
Q6IFZ6	F1LML2
Q9JJA2	G3V6E0
Q76JU9	F1LYB3
Q9D1B9	D3ZJY1
Q8BG58	D3ZJG3
Q6NZL8	F1M987
Q6R6I7	Q6MG51
Q80TN4	D4A7F6
Q7M710	G3V966
Q3TMW1	B0K019
A0JNT9	F1LSF4
Q8BPE4	F1MAF8
A0A0R4J1Q7	F1LZ08
Q6A025	D3ZPW4
P70227	C7E1V1
Q8CJ67	F1LPK2
P51162	G3V6H6
Q62178	D3Z8B6
Q9ERS5	A0A0G2K7U4
A2A870	F1LSG3
F6VAN0	D4A2T5
G3X8R1	B2RYG4
Q61282	D4A7Y1
Q8JZQ1	D4ADD4
Q6AXB7	Q80WE1
Q8BG40	Q4VFZ4
Q9JM76	A0A1B0GWU6
F8VPY0	F1LUF8
Q91XL3	Q5PQX0
A3KMN0	G3V634
P00920	P27139
Q8BGH2	D3ZQR7
P14142	P19357
Q7TQE6	D4A8G1
Q80TE3	D3ZNC9
Q7M759	D4ABR5
O88444	P63007
Q8C0D5	A0A0G2JVC8
P19091	A0A0G2JSI8
Q9ESW8	Q76IC5
Q9CRB8	D4A4L5
A0A0G2JDG6	Q4KM83
Q8BUZ3	D4AC64
Q155P7	F1M2Y6
Q9JI48	D4ABH7
Q9D1D4	Q63584
Q8BMJ7	G3V7C9
P18893	Q5FWS4
P59729	A0A0G2K0G9
Q9JMH9	A0A0G2JY08
Q3TTF2	D3ZDJ4
Q501L8	Q5RKH9
P98191	D4A8Y6
Q3U5A2	Q3MKP9
Q61091	F1LV17
O89013	Q9JLS8
Q9WV03	F6QFT3
Q8BPI1	A0A0G2KAQ9
A0A0R4J1S2	A0A0A0MY02
P34960	R9PXT7
Q80ZQ9	D3ZDW5
P0C7M9	Q0ZCA7
P41245	D3ZYK8
O35149	Q5PQX4
A6H619	P41350
A0A0R4J007	D3ZCT5
Q8K394	G3V7R3
Q8QZR0	D4A9E1
Q3V0E1	D4AC25
Q9D2C7	P55062
Q9D7Q1	D3ZYY8
Q99M52	Q99ML5
Q9D4V3	D4A891
Q8R509	P07727
E9PXY8	F1LM09
Q8VHS2	Q5U4F4
Q3V0Q6	Q5M823
P35761	A0A0G2K2S5
Q8BN51	Q4V8K1
Q2TA50	F1LNB4
Q80UK7	P43140
P47750	G3V6J1
P20489	Q9WU82
Q8CDT7	Q6AXY3
A0A1L1M1J8	Q63472
Q8R2U6	P51886
A2AF47	A0A0G2JUM3
Q3UFS0	F1M8P2
Q9DAM3	M0R536
Q5YD48	Q4V8P4
B1ATY8	M0R4K4
A6H6S0	D3ZPP6
Q5SWP3	F1M6E5
Q3V3I2	F1LPI6
P0C7N9	B2RZB8
A2AU37	Q6AYH6
A7MCT6	D3ZRW8
Q8R3S6	A0A0G2K2V5
Q8R507	D3ZD19
E9PYN9	Q498N2
P51863	Q5M7T6
Q8BVM7	Q8VHW5
Q9CX30	Q5XIK2
P47930	D4ACZ2
Q3UDE2	F1M4I4
Q9R109	Q6HA10
Q9WVS0	P58200
Q61085	A0A0G2JTT4
A0A0R4J1E4	B1WBU7
A0A0R4IZX1	F1M957
Q8BFR2	P01026
Q7TN84	D3ZQA1
P52787	A0A0G2JSS6
P14211	P18418
Q9CW42	A0A0G2JZK8
Q9CY46	P08911
Q14AI6	D3ZJL1
A0A0U1RNG7	F1M0C4
Q9Z0X0	D4A7T7
Q9QZ47	M0RDU9
A0A0R4J2C2	F1LZS9
O88200	P25108
Q9CWR8	Q0VGK8
P20490	P97685
B1AVF4	A0A0G2JWJ3
Q8K2P2	D3ZIA5
Q8VCU2	G3V7C3
Q8R0A6	M0R7W7
Q91YD6	M0RCC8
Q7TNS7	G3V8N2
Q99ME3	F1LS41
Q9DAI6	D3ZZV5
Q60899	P62628
P48540	F8WFL7
Q9JMJ2	D4A2V7
Q6NZL0	Q4QQT0
P27792	A0A0G2JXI5
Q08EJ0	Q924C9
Q9D6Y4	D3Z8D3
P54071	A0A0G2K6J6
P0C5I1	D4A2U2
Q8BH60	Q3T1K1
Q9QXP6	D3ZGJ9
Q3UK37	D3ZBG6
Q7TSH4	D4A3J9
P03987	P19357
Q8C4U3	Q05140
P13542	F1LY69
Q8CC70	Q7TNY1
Q8BX51	B2RYM8
Q8K3K8	G3V8K8
Q64524	Q9WVE9
E9Q8Q7	P30120
Q9WUC3	F1LNW6
Q9QYM9	A0A0G2JZU6
P21729	P52500
Q8VC04	Q5BK83
Q9R1B9	Q9QYV8
P62259	P62260
Q9WVB3	Q3MID7
A0A0N4SVK4	D3ZA60
Q62158	B5DFI5
A2A9C3	D3ZUQ8
Q8CEQ0	Q66HE7
Q9JI90	F1LM54
O54824	D4A4I9
Q8C985	D4A871
Q8R3H7	M0RCH5
A2ARA8	D3ZV60
O88676	P18598
P20443	A0A0G2JW59
Q9CPQ2	P32301
Q8VIG3	A0A0G2K8M2
Q3U3W2	F1M9D8
Q9JJZ6	P23899
Q8BVM9	G3V7M6
G3UWB6	P32244
Q8BTM8	G3V826
Q68FE8	Q9EQT1
Q3U481	D3ZLC4
Q8BJ05	A0A0G2K596
Q8R2P1	D3ZIA4
A2AQ14	Q5I0L3
Q9D123	G3V671
O35659	F1LRH2
Q9JLV5	A0A0G2JSP3
P48744	D4A605
Q5FW53	Q5PQM4
A0A0R4J0U7	Q6AYQ6
A2RSE7	Q4V8G6
Q9Z2A9	A0A1W2Q6I6
Q61838	Q64230
O35137	D3ZEM1
Q5SP85	D3ZMD4
Q8K0S5	Q80WD0
A0A087WSP5	F1M9D6
G3XA17	D3ZQ30
Q5DTI8	D3ZYQ3
P97357	F1LP85
Q9QZ03	P97610
Q8K4D7	Q5FX52
Q9R182	F7FHP0
Q62227	Q9EPJ1
P32299	Q8K3V5
Q8R4S0	A0A0G2K9X2
D3Z1Q2	D4AE95
Q3UZ09	Q62871
A0A0R4J1R1	Q7TSB7
O35716	G3V6B4
Q9R0Q4	Q5XI98
Q9JHJ8	D3ZWU2
Q3UTH8	D3ZGI8
Q6PDZ2	B2RYI4
Q3UY96	Q4QR79
Q9JJ93	D4AAW6
Q9CQE3	D4A3J0
Q91XX6	P50235
Q71UK0	D4A4W5
Q6P3B9	Q6AZ05
Q8CHR9	F1LRH8
Q8C170	A0A0G2KAF6
Q8VDB9	Q8CF82
B2RSH2	P10824
Q3TMH2	Q562C0
Q9JI11	D4A648
P59325	Q03336
Q9Z257	P51577
P25322	Q75Q41
A0A0R4J0P1	Q63009
P22727	D4A3W9
Q9CQE6	D3ZTV6
D3Z1D3	M0RD54
Q8C6Z1	P01143
Q5DU09	A1L1J6
Q3U0M1	E9PU02
Q99J39	D3ZYM7
O08542	F1LZB0
Q497H0	G3V815
Q8BH82	G3V978
Q9Z1Q4	Q9WVA9
Q66JW3	D4A1U5
B1AXE7	F1LU78
Q6A044	D3ZVG6
Q61411	P20171
A0A0A6YWQ3	A0A0G2K884
Q5ND29	D3ZGA5
A0A087WSB9	F1LVJ1
Q6EBV9	D4ABD5
Q61592	Q63772
O54689	Q5BK58
A2AG06	P36364
Q9CQ52	P50904
O54833	B4F7A9
Q8CIV3	F1LPN6
P58873	D4AAL6
O55101	M0R446
Q3V2D2	D3ZIS7
Q61532	P27704
Q8R107	D3ZAD7
Q8VHI4	P51579
Q8BHL7	Q5XIB9
Q8R2G6	Q6QD51
O70445	A0A0G2K9Y6
A6H8H5	F1LVV2
Q9Z320	Q6IFW8
Q8R4C2	G3V627
Q3UW66	Q641Z2
Q8R123	D4A4P4
Q3LAC4	A0A0G2K3S4
Q9ERB5	P27321
Q5F2F2	D3ZJD8
A0A1L1SU72	Q924V1
Q68FG3	M0R8V7
Q00731	A0A0G2K6Z7
Q62178	A0A0G2QC52
Q9Z1K6	D3ZJB8
Q9CZJ6	E9PU42
Q80XM3	D4AD66
Q3UGS4	B0BN72
P70211	F1LRN5
D3YXN8	Q8VHQ7
E9PWD2	P0C5H9
Q6UJB9	Q156J1
Q10738	F1LWU7
V9GXT8	F1M0C0
Q3U1N2	Q9JK59
P68510	P68511
P70186	D3ZLS2
Q8VHF2	F1LSW5
Q6PGC9	F7ETL6
Q80W47	B2RYJ1
P24807	Q5PPI0
Q5D1E7	D4A281
Q76N33	G3V769
Q9D4C6	Q501R9
A2ABG4	F1LS35
Q587J6	G3V631
Q9ER58	Q63639
Q8BH80	Q9Z269
Q02152	G3V8A0
Q8C838	Q8R455
A2AWF2	G3V7I1
Q03146	Q6MG19
Q5Y5T2	A0A0G2K605
E9PXB2	M0R6Q6
Q8CHG3	P02563
A0A0A6YXI5	A0A0G2K6F2
Q8BG36	A0A0H2UHP5
Q9ERN0	B5DEN3
Q8BTE0	D4A7Q3
Q03249	A0A0G2JSQ3
Q99P72	Q9JK11
Q0P5X1	M0RDZ6
Q76MZ3	Q5XI34
P22389	P01257
Q3U829	G3V6X6
Q80TS5	D3ZRG0
Q91YD4	P62755
E9Q4P1	A0A0G2K3L8
A0A0R4J2B5	A0JPQ7
Q6AXC6	P28064
A2A6Q5	Q4V8A2
A2A8Z1	D4A020
Q8C879	Q9ESG3
Q8BWG8	P29066
Q91ZP9	F1LQY6
Q925H0	A0A0G2JTM0
Q6DIC6	R9PXZ9
E9Q7X6	Q1EHB3
Q3UVU3	D3ZJB7
O08992	Q9JI92
Q99L48	D4AA75
A2A5R2	Q59IV8
Q8BFU1	A0A0G2K1A5
Q6ZQ88	F1MA31
O55176	Q66HF7
Q9DCV3	D3ZHS5
Q9QZH6	Q9WV59
B2RXC6	A1EC95
G3UX29	P35000
Q03719	D3ZYK3
F8VQ03	P70534
Q5U4H9	Q6AY35
Q9Z262	Q5FWS5
Q99MH6	D4AAV5
Q810W6	F1LMD6
G5E8V9	D3ZIG8
Q3TPT0	D3ZU13
Q8QZR5	D3ZPB7
Q91Y74	P62986
Q7TPY9	A0A0G2JYL3
Q9R0M5	B5DEJ6
Q3UWA4	Q6MFY8
E9QK22	P10608
B1ARW8	D3ZK76
P63141	D3ZFQ3
Q80UP8	Q63488
Q924W7	D4A9H6
Q91WD0	M0R518
Q8C0Q5	D4A9I3
P21952	D4AD02
Q9R1A9	P14630
Q5DU56	D3ZYP9
O88942	Q62909
P36895	A0A0G2JW78
Q6P6I6	A0A140TAE6
Q3TDN2	Q5BK32
Q3URV1	D4A050
Q8VCK6	Q76EI6
Q8K0G8	P38552
O88410	Q5FVI8
P30548	P84245
B2RUG9	Q6P9V1
E9Q6H8	A0A0G2K6G9
O88631	P27682
Q3TDV8	D9I2F9
Q9Z1W9	O88506
Q8R121	A0A0H2UHS9
Q9CZ82	P61149
Q14CH0	G3V6D9
Q8CGW4	B1H246
P22682	D3ZV15
Q2NL51	Q5XIK1
P61793	D4A7F0
Q9DCB4	P13053
Q8VE70	D4AA36
Q8R0A2	D3ZR69
Q8BFW9	D3ZNG4
Q8VCE4	D3ZNA1
Q91WB2	P00884
Q9ER47	Q6AYC6
P43135	O09018
Q02248	A0A0G2JT93
Q53YU8	Q6SJV7
Q6P3B9	A0A0G2K1B0
Q59IW6	A0A0G2KAI3
Q9CYX7	A0A096MKE9
O54693	A0A0G2JTT7
Q9R0K7	P11506
Q3UHN9	Q02353
B1AWD9	R9PXV5
Q5SW46	D4A400
P48756	D3ZNG3
Q6X6Z7	Q4V8G8
P81068	D3ZAQ2
A2ASQ1	D3ZAQ4
P61237	B5DFM2
Q9CQE3	D3ZKW7
Q9R1Q6	D3ZTY5
Q8CB14	G3V7Z4
Q8CFD5	A0A0G2JWQ0
Q8BWA8	D4A646
Q6XE40	O88954
Q80Z96	D3ZKC8
A0A1Y7VMP7	D3ZVR0
P70335	P21707
Q8CDM1	F1M6Q2
Q99PT1	Q5XI73
D3YYC3	A0A0G2K5A7
P59941	Q4FZY2
Q8C561	D3ZUP8
D3YVF0	F1LPP6
Q8CHI8	A0A0G2KAW2
O55241	A0A096MJ52
Q7TSF9	P32232
Q9WV04	D4A5S6
Q9Z2C8	Q5GH59
P56394	P29117
Q9JL16	P23385
Q6NSQ7	Q68FR7
P61025	B2GUW3
Q61508	Q62894
Q9WTR1	A0A0G2JSH6
Q9ESS2	Q8VI79
Q80TQ2	F1LPJ6
P37237	Q76LI5
Q61627	Q63089
Q5HZK1	Q3B725
Q61006	B5DFG8
G5E8C0	B0BND2
Q99JH7	O35431
Q91W59	P00731
A1A5B6	M0R476
P37217	D3ZCV2
E9PYC0	D4ADX7
P27467	Q9QX75
Q8BRB7	Q5M834
P62908	D3ZVH2
Q8C1A5	Q4QRB8
Q9R244	Q925D4
Q2TL60	D3ZP44
Q91XE9	Q5FVM5
Q9D3W1	D3ZWJ1
O70433	O35115
P35991	A0A0G2K134
Q9QXT1	D3ZJ01
A2AF53	Q9WTR8
Q64281	D3ZU84
Q8CEG8	F7FMY6
Q80Z64	Q68G28
Q2TBA3	D3ZXF8
P28047	A0A0G2JY41
Q924W9	B2RYK5
Q80XD8	Q9ES75
A2RT67	D4A2H4
P70310	P34080
Q8CAM5	Q6TUH7
A0A0R4J0V4	A0A0A0MP78
P61092	P18090
P61215	M0R8A5
Q60935	D3ZGJ0
Q5EBP3	A0A0G2KB87
Q80UL9	D4A1C2
Q9CZT8	Q4G086
Q9DAI2	Q2KMM2
Q64337	O08623
Q6PAQ9	P16573
A0A1W2P866	B1WBZ7
A0A087WRR7	D3ZM85
P55050	A0A140TAI4
Q7TPM9	D4A8C1
E9QJV4	A0A0G2K4H7
Q8CIM3	P84850
Q8BUZ1	D4A7S3
Q91Y86	F1LP66
Q80UW5	D3Z837
O70305	Q5EBD0
Q8BGW1	Q2A121
O88200	A0A0G2K3S4
Q9D9Q6	Q6AYG8
Q9R171	P63182
P51150	P09527
Q7TSI1	Q561R0
Q3TS89	G3V979
Q8BSL7	B5DF20
Q3UNH4	D3ZXP1
Q2XU92	A1L1K7
Q99JT6	D4A767
Q3TFK5	Q566R3
Q6R6I7	D3ZSZ1
Q9WVK5	A0A0G2K9S2
Q8R0S2	D3ZP13
Q6P1I3	D3ZH50
P56942	G3V6L0
P97927	Q5U330
O88829	Q6AXT3
Q6KAU4	D4A576
A0A1B0GSR5	D3ZKK3
Q9JJV3	M0RCX9
O88992	D3ZEN8
Q9CX13	Q641X8
Q9CZB2	D3ZED8
E9Q876	F1LTN5
Q8BYA0	F1M1D5
P43432	E9PU71
Q9D5J5	A0A096MJ78
Q6P9S7	A0A0G2K4P0
P41133	F1LSV8
Q3U435	F1M9G3
A2A559	B1WBW5
P19788	Q5RK05
Q99P87	D3ZP67
Q5DU25	D3ZP58
P10711	P61250
Q8BFZ3	D3ZRN3
Q8K5A4	D3ZA36
Q9CYD3	Q5RJN0
A2AFR3	A0A0G2K9E1
A2AM57	G3V9J9
Q80WS1	O89046
E9Q6W4	D3ZZY7
Q920H4	D3ZBG7
Q8BRB1	A0A0G2JVP1
P25918	Q62885
Q6PAK3	B2RYD2
Q5MJS3	B1WBN7
O70237	P41138
E9QMN1	D3ZDD6
Q6PD28	A0A0G2JWK6
Q9JHG7	A1L130
P32443	G3V6T9
Q8K4G5	F1LWK7
Q9CRC3	Q8CH01
Q8BVG5	Q6AYA4
Q5RL51	F1LWB7
Q9Z1T5	F1LQ17
Q6ZQ82	A0A0G2KAI8
Q8BTP0	G3V966
P70371	D3ZD11
O35066	P24485
Q9D2V5	D4A8B1
Q91ZE9	P97879
P17809	A0A0G2KA88
Q922G2	D3ZVQ9
Q9D140	D3ZRA7
P98064	F1M3B3
Q9DCD2	Q99PK0
B1ATV3	F1LNQ7
P60954	A0A096MJ89
Q9JKE2	D3ZFM4
O88987	D4A3R0
Q7TMQ7	Q6P730
Q8VEG6	Q6Y2E6
Z4YJL0	Q76LI5
P23804	A0A0G2JVC1
Q62312	P38438
Q6ZWS8	Q5U2X0
Q6PFE1	A0A0G2K1Y7
Q9QXY1	P20267
Q9ES46	D3ZTD6
E9PYR6	D3ZKX9
P55097	F1M4I5
Q8R3R8	Q0VGK0
Q9D1G2	P60889
Q01853	P46462
P49282	A0A0G2JT15
F6XAI7	D3ZZK0
B9EJR8	D3Z822
P61028	P70550
Q8K2I3	A0A0G2K503
Q9JIY5	P51907
Q03717	A0A0H2UI34
Q3U9N4	G3V8V1
Q8BH70	B1WBR8
Q91WD2	Q6IFU7
B9EJ80	D3ZXY2
Q6PE92	P18331
Q9R0L6	A0A0G2K0X1
Q78JT3	D3ZTJ3
A2ACT7	Q62769
Q9QUI0	P61589
Q61809	D4A0T9
Q8VC16	P10759
Q8R007	P19335
G5E922	P19024
Q80YE4	D3ZGM0
Q3ULM6	Q8K4Y7
Q8JZY4	B5DF07
Q61738	D3ZV74
Q91Y21	O35550
E9Q166	D3ZYQ2
A2RSS2	Q6P6S5
E9QM92	Q4V7B4
A2RSE7	Q6AYK7
Q8BYZ1	A0A0G2KA53
Q3UMA3	A0A140TAH1
Q61125	P97583
P55258	P35280
F6ZW42	D4A6L7
Q0VGT2	B2RYD9
Q60803	A0A0G2JVQ2
Q69ZU8	B5DEH9
Q5Y5T1	E9PT74
Q3UHD9	F1LR04
Q9CR46	Q5I0J4
Q6PAR0	Q5U3Y0
Q8BXR9	Q5XI99
Q3U0X6	Q5XIV0
Q61062	D4ADV8
Q8C0T9	Q9Z286
Q9D4M9	Q6AYL7
Q99ME7	Q99P67
A2AAE1	D3ZA21
P54116	Q5XI04
P40645	Q9QYF3
Q61909	A0A0G2K0G0
Q9JJF6	Q6AYU5
Q9CZU4	Q5EBA0
Q9Z2E2	Q66HB3
Q5SV66	D3ZAZ8
G3UW82	D3ZD67
O89091	Q5RKG1
Q9R0B9	P51886
P03888	D4ACZ2
Q64737	G3V918
Q6P8I4	D3ZFK0
Q9CWH0	P17702
Q9Z273	Q2AC31
Q9DBG3	P62944
Q8K3W0	P53563
A0A1Y7VJX7	O54921
Q7TPS3	D4A4Q7
Q9R0M3	Q63769
Q9QZH1	A0A0G2JYL5
Q2YDW2	Q4V8B7
P16045	P11762
Q56A04	F1LRJ7
Q5ND56	Q62930
Q3UGX2	A0A140UHX6
O70306	D4A5Z6
P97479	Q5U309
Q8C5T4	A0A0G2JTF0
Q9EQ14	G3V7X9
Q80ZS3	F1LR39
Q6DFW4	A0A0G2K8P3
Q6IRU5	D3ZWK4
O88455	G3V9Q7
Q9R190	B2GV01
Q8R2Z5	Q642A6
Q8BWJ3	D3ZDP9
Q9D0E5	D3ZGA0
Q99JI6	D4A6D9
Q8K558	A0A0G2KAM8
Q8K0U3	Q5HZE5
Q149F1	Q4KM95
Q9D1M7	Q07523
Q8BTF7	A0A096MIU9
Q8VBV9	P27926
P68368	Q5XIF6
Q2M2N2	D3ZW82
Q9DCM4	Q5PPH7
Q8BXR5	Q8K4C8
Q3UZA1	A0A0G2K4T5
Q766D5	F1LY77
Q8BHC0	D3ZD19
Q9WV52	D4ACD5
Q5MJS3	Q5XIR9
Q922M3	A0A140TA97
Q80YT7	P50569
P26361	A0A0G2K3B1
Q3UK10	P0C5J3
Q8BUB6	A0A0G2KAA6
P39876	Q4V8L0
Q9JKJ9	Q5PPL3
Q6ZPU9	G3V614
A0A2I3BQN2	D4A5I9
Q6PCQ0	D4ADQ3
Q32NZ6	Q5BK85
Q3TMT3	Q9EQL5
D3YVE8	Q5M7A3
A2CG49	F1LPA8
Q924X2	B5DF55
Q8BGA7	F1M0G5
Q7TNK8	D3ZQH3
E9PZQ0	A0A0G2K5J1
Q8BGK5	D3ZFM3
P01580	P01581
Q9R1M5	G3V7E7
Q61625	F1LXB6
Q9D771	Q66H28
Q3UIK0	P56741
Q9D4F2	A0A0G2KB38
F8WGH2	D4A9T2
P70120	Q03062
Q3UWA6	P23897
Q3UM33	A0A0G2K1C8
Q8BX46	P84551
Q99PG0	D4A1W8
P26450	F1LNG5
Q9R001	G3V673
P0DP28	A0A0G2K1V2
Q62523	D4A7U1
Q3TWE9	A0A0G2K443
A2BDX4	Q5BK97
P09225	Q06332
A0A0B4J1E4	A0A0G2JSH8
Q8CIM1	F1M644
Q9CZH7	F1LXB2
P84075	Q5U318
P04426	D4A9J2
P56484	D4ADE0
Q9CTG6	F1MAA4
Q3UH60	D3ZVN8
Q9ERP3	Q5XIH6
Q9QYK5	D4A6E6
O88597	Q91XJ1
Q91YD1	P52947
Q4U2R1	A0A0G2JUC9
Q5XF89	A0A0G2JY97
Q7TMF2	D4A1F2
O35846	Q5PQS5
Q8VC82	P15304
Q8CGW4	D4A1T7
Q3TIU4	Q5U2Z5
P20152	G3V8C3
A0A2I3BPM3	O55004
Q8CDA1	Q66H73
P14220	G3V8V9
P55086	Q63645
A0A0R4J0K8	M0RCM9
O35453	A0A0G2KB31
Q8BZA7	Q9QXI3
Q8C0D9	P35704
