Q6P9S1 F1S010
O55047 A0A287B621
Q64347 F1RYU8
Q3UV71 A0A287BRX1
Q8BKJ9 A0A287AZS2
Q6ZQ88 A0A287A9K0
Q61187 A0A286ZJV6
Q920Q2 A0A287AD86
Q99MV1 F1SR85
O35385 I3LF48
P52955 F1S0T9
Q9ERS5 A0A286ZUR0
Q61324 A0A287ALQ4
P12023 P79307
P13405 I3LK59
Q3U145 A0A287ASD5
Q8C761 A0A287B519
Q922G7 F1SV60
Q8R0F9 A0A287A4E5
E9PWG6 K7GNC8
Q8BG32 F1RKW8
A0A1B0GQY9 A0A287AV79
A0A1L1SU27 F1SCF7
P63001 A0A287B4G4
P07356 A0A286ZJV6
Q64127 A0A287BBQ5
Q99LC8 K9IVF7
Q8JZS7 F1RZW6
H3BLQ9 F1S4G0
O88477 F1S8K5
Q91YD9 A0A286ZNG8
Q9WV31 F1S603
Q3U3M5 F1SAQ3
D6RIL3 A0A287B1K1
Q99L45 A5D9P0
Q5HZH2 I3L6Q2
Q148W0 F1SQH3
Q99P69 A0A286ZQL9
P33033 Q8HYN8
P07356 A0A286ZVC7
Q5SF07 F1SFK0
Q9R1B9 A0A287B5N1
F6V5B0 I3LG10
Q6KAQ7 A0A287A377
Q9Z2C5 F1RYU8
P97313 F1RSE6
Q4ZJM9 F1SHB8
Q8CE94 I3LK04
P62983 A0A287AZA7
Q8CB14 F1S1Z5
P16546 Q767L0
Q9ERI5 F1SH27
H3BJD7 F1S360
P49183 A0A287BJ79
P16546 F1SV16
A0A0R4J0W0 A5GFR3
Q8BW72 A0A287BBL7
Q8BZR9 A5GFR3
Q8BZ33 A0A287A377
Q8R0W6 F1RM52
A2BFE8 C6JWG4
O55013 A0A286ZMX2
P70343 F1SV36
F6V5B0 F1SIX8
Q8JZL0 F1SI41
Q8C156 A0A286ZLT0
Q3UHG7 F1SRQ4
P46414 F1RGA9
Q99P69 A5GFY4
Q9D1C3 F1SGV8
P56479 I3LTJ3
Q61696 I3L5R5
Q9WTQ5 F1RMJ3
P18762 A7BJW1
P39428 F1SME2
Q8VHZ7 I3LP32
Q8K1A5 A0A286ZID7
Q64347 A0A287BHL2
Q9JKN5 F1S5P5
P97348 I3LKS1
Q5SQ27 A0A286ZQ63
Q3U0V1 F1RPX1
Q80W04 F1S360
Q8BUL6 F1RRR7
Q1HL35 A0A287B2F2
Q6PDL0 Q06AT9
Q9CQX2 A0A287BA78
Q9EPS3 F1SIU0
Q9D9V4 F1RRH7
Q68FH0 A0A287A0E5
Q6P5F7 A0A286ZK79
O70494 F1SEI1
Q91WC9 I3LU32
Q8R4G6 A0A287BF42
Q8R1Q8 A0A287AIW3
H3BJD7 F1S4A6
Q9ERG0 A0A287A2U9
E9Q774 A0A287AWK9
E9QNX9 F1CK17
Q8R007 I3LLB5
Q3U487 F1SNJ6
E9QJU6 A0A286ZTE3
Q3THW5 A0A287AMU4
Q62311 F1RVT6
Q3TYX8 F1SS06
Q62137 A0A287AZJ5
A0A0R4J0W0 F1RGS3
O88554 F1S8F9
E9PWG6 F1S5C5
Q7TPH6 K7GND6
Q8VE98 I3L740
P97473 A0A0R4J8D6
Q6PAR0 A5GFR3
Q9ES03 F1S0T9
Q3UZZ4 F1RJ68
G3X9F4 A0A287ARC5
Q9R0M6 F1SRI1
Q9D906 F1RHJ1
Q8BMJ8 A0A287B976
O08811 F1SU46
Q9ERS5 A0A287AB40
P33896 K7GT58
Q3U4H6 F1S009
Q99JT2 B7U6F4
Q8CEC0 F1RUP2
A2A432 I3L5M8
Q9CQA1 F1RZA6
A0A0R4J092 Q767L9
O08688 I3LG10
P35550 I3L5T3
Q8VIG1 A0A287APE0
Q8VBW6 A0A287AKE2
Q9D1C3 A0A287A3K3
P26687 F1SEI1
Q6NZB1 A0A287AW37
Q6PAL0 A0A287B0B0
O09030 A0A286ZRB8
H3BJ52 A0A287BRV4
P84104 F1RY92
Q8VDF2 F1S7K1
Q8K2Z4 F1RQR3
P37242 F1SH27
P41969 K7GQA4
P50149 A0A287B294
Q61575 F1RNC9
Q9D2V5 A0A287AKU1
Q8BHZ5 F1SNI2
Q9R123 F1SFF0
O08969 D3Y268
F6U5V1 K7GNR7
Q61545 A0A287APW0
A0A0R4J097 F1RFX4
P15208 F1SCL0
Q8BHT6 F1RSS9
G3UWB6 A0A287AHC8
Q8K2J7 A0A287BIC6
Q9JJG0 A0A287AM94
Q68FH0 F1RPT5
Q8C4Q6 F1S9H0
P25799 K7GNS9
A0A0A0MQ97 F1SIU0
Q9DB05 F1RLB6
Q6P8K8 F1SI76
E9QKM8 I6L6T2
Q8BSK8 F1S224
E9PXE2 F1SCW9
Q9QZS2 F1S8Q2
Q9WVS8 A0A287AZJ9
Q60665 A0A287B877
Q8BW72 A0A287B916
Q8BWY4 I3LG10
Q03366 F1S8D0
A2ACG1 A0A287BJT4
Q8BXR5 A0A287AST0
Q8VHV1 F1SB79
A2BGN7 F1RT51
A0A1Y7VLV0 A0A287AA35
P14152 Q8HZV3
Q8VE97 F1SGH9
J3KMG9 A0A287B877
Q6PAL1 F1RF89
Q99JX7 I3LNX4
Q05909 F1SJV7
Q63871 A0A287A407
Q9D6K5 F1S4A6
D3Z3U5 A0A287B7I6
P63163 I3LFS1
P46935 A0A287AI88
O88854 F1RM11
A2AQJ8 A0A287B841
Q60722 A0A287BI09
Q8VHG2 F1RWT7
E9QNX9 F1S073
A2AIX1 A0A286ZV83
Q6P3A8 A0A287AKX1
A0A286YCI8 F1RX38
Q52KB6 A0A287AGK8
P97313 A0A286ZTN5
P70333 A0A286ZWW2
Q8VHP6 A0A287ARC5
Q9JJS7 A0A287B531
F6R4N2 F1STD8
Q148W0 F1SM35
P70424 F1RWM5
P70340 Q864V7
Q8BGE6 F1SH89
Q3U1D0 F1SR95
Q1HL35 A0A287A4Z1
Q9R0Q3 F1RQU8
P20263 F1RU99
P34960 F1SV57
P97766 F1SHY4
Q3TE40 F1STM9
Q3UPF5 P62844
Q8BZH4 F1RXX3
Q9JI48 A0A287A5L5
Q8BTZ4 F1RNP8
O08919 F1SMJ4
P47740 A0A287BBJ7
Q9ERS5 A0A287BIC6
Q8BP71 F2Z4Y0
Q811Q9 K7GR08
Q91Z22 A0A287AE68
Q91V57 F1SPR3
Q61043 F8SIP5
P24788 F1RJC5
Q811Q9 F1S4A6
O35382 F1SSC2
Q60848 F1SC64
P09103 A0A287BNK4
A2CGA3 O62640
A0A1B0GQY9 F1S8W8
Q06180 A0A287BNZ9
Q99PR8 F1SMB6
Q9JJG0 K7GT58
Q3U309 A0A287AV79
P97504 A0A287BNZ9
P20181 A0A287B6J8
Q8C156 A0A287BSE8
P05214 Q6QAT1
Q9JMH6 A0A287ATW2
P63028 P61288
A0A087WPY4 F1RVR8
Q3UCQ1 F1S1F6
Q9CQZ0 A0A287A041
P42228 A0A286ZYD0
Q99KR8 F1S715
A0A0R4J0I7 K7GR08
Q9WVS8 F1RVT6
Q9CR23 I3LQB2
Q62440 I3LQ74
Q64326 A0A287AHC8
Q7TPS3 F1SIG2
Q8BGK6 A0A287A4L2
Q62311 F1S034
Q3TRM8 K7GS73
Q3UFY8 A0A287B7I6
Q9CQ06 F1RHJ1
Q8R0B5 F1SSM3
F8VPX2 A0A287BK29
Q9Z2D1 A0A287AUM4
Q9ES03 F1SIK8
A2ANY6 F1RY22
P41233 A0A286ZJ13
Q8BWC0 A0A287A8S2
Q9ERI5 I3LVJ1
Q5Y5T3 F1SCQ9
B7ZBV9 A0A287BNA8
P16546 I3LG73
Q03173 F1S7K1
O35226 A0A288CG47
P13405 A0A287A9K0
O54864 A0A287B3N8
P35821 A5GHK9
Q03173 I3LCN0
Q78ZA7 I3L9X2
P27782 I3LVJ1
Q9CQA1 F1RXE4
E9QNX9 A0A286ZVC7
Q9D9V4 F1S9W2
Q6P549 F1SUW7
Q3UV71 I3LEL6
Q9QZC7 I3LLX4
O70494 F1SH27
Q78WZ7 I3LTD2
Q76LW6 F1SHY4
Q8K021 F1SEX5
P00687 A0A287A570
Q3TLH4 A0A287AM68
Q6P3A8 F1RQL3
Q8R2G4 F1RYU5
P29121 I3LT46
G3X956 A0A286ZS00
Q5SNZ0 F1SSC2
G3UWB6 I3LTQ7
Q80X98 A0A287AR48
Q64701 F1SNJ6
Q9WUR2 F1RWZ4
Q99P72 A0A286ZJX9
Q3U309 F1S8W8
Q8VIG1 F1RTW1
Q8VCR3 F1SB29
Q9DBX7 A0A287AJJ1
Q9WV55 A0A287BBB5
Q8BZ33 F1RZA6
O08582 A0A286ZWR0
Q8K1S3 F1SUB0
P59326 A0A287BDL6
P70274 I3LJP2
Q8K021 O77735
Q9WUR9 A0A287B3M4
Q9ESF1 F1SN65
Q7TSS2 F1RGM7
Q8BW72 F1S064
O08582 F1RGS3
Q8BZ33 Q28987
Q3V3I5 K7GNK6
Q8K284 A0A286ZS52
Q64347 F1SIX8
Q99JB6 K7GQT5
Q8BZ33 F1SCJ1
Q8K021 F1RMJ9
A2BFE8 I3LMT5
P83510 A0A287BA39
Q8K2J7 A0A286ZUR0
P62984 F1RMJ3
Q8K2J7 A0A287AB40
H3BJD7 K7GR08
Q9JHD2 F1S0Q0
Q80ZW2 A0A287BMU4
Q921S7 F1RUP2
Q9JJG0 A0A287B098
A2RTU1 A0A287AW55
P33033 A5GFS7
A0A0R4J0W0 F1RUP2
P14094 P05027
Q3UGS4 A0A287AWN1
P62492 A0A287B854
A2AWA9 A0A287ATW2
P16546 F1SU06
Q9JJN1 C6JWG4
Q8C6L5 I3LM39
Q9Z1Z2 Q8HZV3
Q8R2Q6 F1SC46
Q9ERD7 A0A287A5I0
Q6P8W9 A0A287BBF5
Q8VEE4 I3LHB2
Q9JMI7 A0A287AE72
Q9CZJ6 A0A287BDY2
Q80V62 A0A286ZQA1
Q9JMH6 A0A287B621
B1AWD9 A0A287A682
Q8VBW6 F1RHJ1
Q91XQ0 F1RVR2
Q3TLH4 F1S7K1
P49698 A0A287BEH6
F6TVP2 F1RGG1
Q3B7Z2 F1SEX5
Q9D2K4 A0A287B493
Q9WUL8 A0A287AM94
Q9CR63 F1S4A8
Q06890 Q29549
G3X972 I3LDL8
Q91W82 Q06AT9
P63157 K7GMR6
Q9ERI5 F1S4Y2
Q9D906 F1S001
Q8CHP8 F1SAZ7
Q8R010 A0A287B749
A7L9Z8 F1S5U9
G3X9F4 I3LUG5
Q9D7X3 I3LCX3
P97929 A0A287B8J8
Q810A1 F1SS53
Q99ME7 F1RPV3
Q8R015 A0A286ZJX3
P06240 A0A287AH06
Q9QXJ1 D5KJI2
Q62189 F1RJC5
A2A7S8 F1S4K9
Q8VIG0 A0A287B7K4
E9PUK6 A0A287BDL6
Q9D850 F1RT51
P31938 A0A287BK75
Q62311 I3LFS1
Q8CJ61 A0A286ZIP7
O89013 B9TRX0
Q3UJB0 F1RU38
Q9JMH6 A0A287AM68
A2ANX3 F1SM35
Q9CPX5 A0A286ZQS2
Q8BH02 F1RVY0
Q8VCH6 I3LM80
Q04744 A0A287ADM1
F7C846 Q27HK4
P70445 A0A287B2F2
Q8BZR9 F1RUP2
Q8BFW9 A0A287BR15
F7BWJ7 F1S8W8
Q7TSA6 F1RM61
Q9JJF2 F1S4W0
H3BJ52 F1STH9
Q07235 A0A287B2F2
Q8BZH4 F1RYY5
Q5RJH3 F1SRL7
P35235 A0A287AQB6
Q8C8U0 I3L5F7
P07356 F1CK17
B2RSU7 F1ST91
P07356 F1S073
Q9Z2X8 A0A286ZZ61
P51908 A0A286ZQ22
Q8R2E9 F1RGY8
A0A1L1SSL9 F1SKG2
P32443 F1SEJ3
Q9WVS8 F1S001
Q3U3I9 A0A287AV79
Q02257 P79432
P12813 A0A287ANK9
Q8CI32 A0A287BRD8
Q9R1M5 I3LG10
G3X9F2 F1SSH9
A0A087WSD0 A0A287BNT0
Q9JLN9 F1RX57
Q6P9S1 F1SB79
Q80T69 I3LIT1
Q9CYA6 F1SPR8
O08811 I3LPU5
D3YU50 F1SRI8
Q3TT38 A0A287ACB5
P97812 A0A287B487
P61021 A0A287BNU5
Q9WUC3 A0A287BFQ5
P14152 A0A286ZIJ9
Q8BKX6 A0A286ZI96
Q60665 F1S4Y2
O70494 F1S4Y2
Q99PU7 A0A286ZQN6
Q64385 K7GP23
Q91W10 F1S103
Q8VDP6 D0G6R6
Q61575 F1RM41
Q91XQ0 A0A287BE50
Q78IK4 A0A287APE0
Q80ZJ1 I3LTC6
P42230 A0A0A0MY60
Q9WUL8 A0A287B098
Q99LL5 F1SPR8
Q9Z265 A0A286ZND4
Q9Z1D8 A0A287AIA4
Q08624 A0A287BEN5
Q99NC0 A0A287A9N8
Q60664 F1SQH5
Q9Z248 F1SQZ3
Q9D906 A0A286ZKK7
Q6PE01 F1SVA6
A0A1L1SU00 A0A287AKG6
Q8VBW6 I3LFS1
E9Q7L6 F1SC14
P04184 A0A286ZID2
Q9D906 I3LFS1
Q80WQ8 I3LCM7
P62340 A0A286ZV73
Q9CQD1 Q06AU6
Q9JHG1 F1SGV8
Q9JHG0 A8S2C3
Q9R1M5 I3LF48
